YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EQ_PRIMARY,INTENSITY,COUNTRY,LOCATION_NAME,STATE,LATITUDE,LONGITUDE,DEATHS,INJURIES,Depth
1941,8.0,7.0,0.0,0.0,0.0,0.0,0.0,TUNISIA,"TUNISIA:  BOU-SAADIAH,ZAGHOUAN",no info,36.0,10.0,0.0,0.0,0.0
1941,9.0,10.0,21.0,53.0,0.0,6.0,8.0,TURKEY,"TURKEY:  VAN, ERCIS",no info,39.5,43.3,430.0,0.0,28.0
1941,10.0,8.0,15.0,24.0,20.0,6.0,8.0,CHINA,CHINA:  SICHUAN PROVINCE,no info,31.7,102.3,15.0,10.0,0.0
1941,11.0,12.0,10.0,4.0,0.0,5.9,8.0,TURKEY,TURKEY:  ERZINCAN,no info,39.7,39.4,15.0,0.0,70.0
1941,11.0,18.0,16.0,46.0,0.0,7.4,0.0,JAPAN,JAPAN:  SHIKOKU,no info,32.0,132.1,0.0,0.0,10.0
1941,11.0,25.0,18.0,3.0,55.0,8.3,9.0,ATLANTIC OCEAN,ATLANTIC OCEAN:  NORTHERN,no info,37.417,-18.983,0.0,0.0,0.0
1941,12.0,5.0,20.0,46.0,58.0,7.6,4.0,COSTA RICA,COSTA RICA-PANAMA,no info,8.7,-83.2,6.0,0.0,0.0
1941,12.0,6.0,21.0,24.0,40.0,6.9,0.0,COSTA RICA,COSTA RICA-PANAMA,no info,8.5,-84.0,0.0,0.0,0.0
1941,12.0,16.0,19.0,19.0,42.0,7.1,0.0,TAIWAN,TAIWAN,no info,23.3,120.3,319.0,0.0,0.0
1941,12.0,26.0,14.0,48.0,9.0,7.0,8.0,CHINA,CHINA:  YUNNAN PROVINCE,no info,22.7,99.9,0.0,0.0,0.0
1942,2.0,1.0,17.0,30.0,47.0,6.8,8.0,CHINA,CHINA:  YUNNAN PROVINCE:  SIMAO,no info,23.1,100.3,90.0,0.0,0.0
1942,4.0,8.0,15.0,40.0,0.0,7.8,0.0,PHILIPPINES,PHILIPPINES:  MINDORO,no info,13.5,121.0,0.0,0.0,25.0
1942,5.0,14.0,2.0,13.0,0.0,7.9,9.0,ECUADOR,ECUADOR:  GUAYAQUIL,no info,-0.75,-81.5,200.0,0.0,30.0
1942,5.0,22.0,10.0,30.0,36.0,5.8,0.0,COLOMBIA,COLOMBIA,no info,4.6,-74.5,0.0,0.0,130.0
1942,5.0,28.0,1.0,1.0,48.0,7.5,0.0,INDONESIA,INDONESIA:  MINAHASSA PENINSULA,no info,0.0,124.0,0.0,0.0,120.0
