YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,Depth
521,0,0,0,0,0,0,0,0,0,GREECE,"GREECE:  DURRES,KORINTHOS",39.6,21.2,130,0,0,0,0,0
522,0,0,0,0,0,0,0,0,0,ALBANIA,ALBANIA:  DURRES,41.2,19.3,130,0,0,0,0,0
522,0,0,0,0,0,0,0,0,0,SYRIA,SYRIA,36.2,36.1,140,0,0,0,0,0
525,5,29,0,0,0,7,0,7,0,TURKEY,"TURKEY:  ANTAKYA (ANTIOCH), SAMANDAG",36.25,36.1,140,250000,4,0,0,0
527,0,0,0,0,0,0,0,0,0,GREECE,GREECE-ALBANIA,40.1,20.8,130,0,0,0,0,0
528,11,29,0,0,0,7.1,0,7.1,0,TURKEY,TURKEY:  ANTAKYA (ANTIOCH),36.25,36.1,140,4870,4,0,0,0
533,11,29,0,0,0,0,0,0,0,SYRIA,SYRIA:  ALEPPO,36.2,37.2,140,130000,4,0,0,0
543,0,0,0,0,0,6.8,0,6.8,0,TURKEY,TURKEY:  CYZICUS,40.3,27.8,140,0,0,0,0,0
551,4,0,0,0,0,0,0,0,0,GREECE,GREECE:  MALIAKOS GULF,0,0,130,0,0,0,0,0
551,7,7,0,0,0,7.1,0,7.1,0,GREECE,"GREECE:  SCHISMA, BOETIA",38.4,22.3,130,5000,4,0,0,0
551,7,9,0,0,0,0,0,0,0,LEBANON,LEBANON:  BAYRUT (BEIRUT); EGYPT; IRAQ;SAUDI ARABIA,33.9,35.5,140,0,0,0,0,0
552,7,9,0,0,0,0,0,0,0,SYRIA,SYRIA:  HALAB (ALEPPO); TURKEY:  ANTAKYA (ANTIOCH),36.1,37.1,140,0,0,0,0,0
553,7,9,0,0,0,0,0,0,0,LEBANON,LEBANON:  BAYRUT (BEIRUT),33.9,35.5,140,0,0,0,0,0
554,8,15,0,0,0,7,0,7,0,GREECE,GREECE: KOS,36.8,27.3,130,0,3,0,0,0
555,8,15,0,0,0,0,0,0,0,TURKEY,TURKEY:  ISTANBUL (CONSTANTINOPLE),41.04,28.98,140,0,0,0,0,0
557,7,9,0,0,0,0,0,0,0,TURKEY,TURKEY:  ANTAKYA (ANTIOCH),36.1,36.1,140,0,0,0,0,0
557,10,14,0,0,0,0,0,0,0,TURKEY,TURKEY:  MARMARA SEA,40.9,27.6,140,0,0,0,0,0
557,0,0,0,0,0,7,0,7,0,TURKEY,TURKEY:  ISTANBUL (CONSTANTINOPLE),40.9,27.6,140,0,0,0,0,0
558,12,14,0,0,0,7,0,7,0,TURKEY,TURKEY,40.9,28.8,140,0,0,0,0,0
558,12,25,0,0,0,0,0,0,0,ITALY,ITALY:  ANCONA,43.6,13.5,130,0,0,0,0,0
565,0,0,0,0,0,0,0,0,0,TURKEY,TURKEY:  ANTAKYA (ANTIOCH),36.2,36.1,140,30000,4,0,0,0
567,0,0,0,0,0,0,0,0,0,SLOVENIA,BALKANS NW:  SLOVENIA,45.6,15.3,130,0,0,0,0,0
